Transaction_ID,Date,Store_ID,SKU_ID,Category,Condition,Inventory_Age_Bucket,Selling_Price_GST,Net_Revenue,COGS,True_Gross_Margin_%
1,2025-06-02,1,28,Refrigerator,Open Box,90+,72218.24,61201.89,47699.98,22.06
2,2025-06-02,1,13,TV,Minor Cosmetic,31-60,47307.89,40091.43,28384.81,29.2
3,2025-06-02,1,40,Washing Machine,Grade C,0-30,15992.64,13553.09,9534.87,29.65
4,2025-06-02,1,35,Refrigerator,Minor Cosmetic,0-30,14928.82,12651.54,8761.7,30.75
5,2025-06-02,1,47,Washing Machine,Minor Cosmetic,61-90,39343.63,33342.06,23813.82,28.58
6,2025-06-02,1,27,Refrigerator,Grade B,90+,13941.28,11814.65,9136.62,22.67
7,2025-06-02,1,41,Washing Machine,Open Box,31-60,26591.18,22534.9,16574.72,26.45
8,2025-06-02,1,6,AC,Grade B,61-90,33497.79,28387.95,20477.52,27.87
9,2025-06-02,1,17,TV,Grade B,90+,43105.79,36530.33,28373.82,22.33
10,2025-06-02,2,20,TV,Grade C,61-90,13904.08,11783.12,8784.66,25.45
11,2025-06-02,2,16,TV,Minor Cosmetic,61-90,22529.6,19092.88,15745.16,17.53
12,2025-06-02,2,15,TV,Grade B,90+,11336.95,9607.59,8334.33,13.25
13,2025-06-02,2,48,Washing Machine,Open Box,61-90,19978.33,16930.79,13931.97,17.71
14,2025-06-02,2,13,TV,Minor Cosmetic,61-90,40677.83,34472.74,28384.81,17.66
15,2025-06-02,2,30,Refrigerator,Grade C,31-60,15417.57,13065.73,9763.61,25.27
16,2025-06-02,2,14,TV,Grade B,0-30,45580.76,38627.76,29414.34,23.85
17,2025-06-02,3,16,TV,Minor Cosmetic,90+,21985.03,18631.38,15745.16,15.49
18,2025-06-02,3,17,TV,Grade B,90+,38827.08,32904.31,28373.82,13.77
19,2025-06-02,3,2,AC,Open Box,90+,50481.1,42780.59,34287.99,19.85
20,2025-06-02,3,8,AC,Grade C,61-90,33426.08,28327.18,22963.56,18.93
21,2025-06-02,3,27,Refrigerator,Grade B,31-60,14649.42,12414.76,9136.62,26.41
22,2025-06-02,3,9,AC,Minor Cosmetic,0-30,37844.89,32071.94,22982.42,28.34
23,2025-06-02,3,37,Washing Machine,Open Box,90+,14160.78,12000.66,10015.96,16.54
24,2025-06-02,3,39,Washing Machine,Grade B,0-30,30593.39,25926.6,19250.61,25.75
25,2025-06-02,3,24,TV,Minor Cosmetic,31-60,58169.86,49296.49,35807.85,27.36
26,2025-06-02,3,5,AC,Minor Cosmetic,61-90,43033.93,36469.43,28903.16,20.75
27,2025-06-02,4,19,TV,Grade C,31-60,25099.2,21270.51,15815.55,25.65
28,2025-06-02,4,22,TV,Grade B,0-30,46925.26,39767.17,30727.85,22.73
29,2025-06-02,4,12,AC,Open Box,61-90,39485.65,33462.42,26094.64,22.02
30,2025-06-02,4,33,Refrigerator,Minor Cosmetic,90+,27939.32,23677.39,19539.7,17.48
31,2025-06-02,4,10,AC,Open Box,0-30,32230.82,27314.26,19637.62,28.1
32,2025-06-02,4,1,AC,Minor Cosmetic,61-90,44511.72,37721.79,29209.48,22.57
33,2025-06-02,4,37,Washing Machine,Open Box,61-90,14909.77,12635.4,10015.96,20.73
34,2025-06-02,4,34,Refrigerator,Minor Cosmetic,0-30,53061.17,44967.09,33383.53,25.76
35,2025-06-02,5,27,Refrigerator,Grade B,61-90,13133.64,11130.21,9136.62,17.91
36,2025-06-02,5,34,Refrigerator,Minor Cosmetic,31-60,52740.46,44695.31,33383.53,25.31
37,2025-06-02,5,38,Washing Machine,Open Box,90+,36301.22,30763.75,26147.92,15.0
38,2025-06-02,5,13,TV,Minor Cosmetic,0-30,44372.5,37603.81,28384.81,24.52
39,2025-06-02,5,3,AC,Minor Cosmetic,90+,24408.4,20685.08,17574.47,15.04
40,2025-06-02,5,36,Refrigerator,Grade C,0-30,32898.6,27880.17,20279.68,27.26
41,2025-06-02,5,16,TV,Minor Cosmetic,31-60,23234.18,19689.98,15745.16,20.03
42,2025-06-02,5,11,AC,Grade B,61-90,25334.8,21470.17,16433.46,23.46
43,2025-06-02,6,31,Refrigerator,Grade B,0-30,45379.85,38457.5,29370.58,23.63
44,2025-06-02,6,43,Washing Machine,Grade C,90+,22214.42,18825.78,16193.54,13.98
45,2025-06-02,6,42,Washing Machine,Open Box,0-30,49954.16,42334.04,29724.77,29.79
46,2025-06-02,6,6,AC,Grade B,0-30,33411.08,28314.47,20477.52,27.68
47,2025-06-02,6,1,AC,Minor Cosmetic,0-30,46841.88,39696.51,29209.48,26.42
48,2025-06-02,6,44,Washing Machine,Open Box,90+,33276.26,28200.22,22655.21,19.66
49,2025-06-02,6,34,Refrigerator,Minor Cosmetic,0-30,54097.05,45844.96,33383.53,27.18
50,2025-06-02,6,35,Refrigerator,Minor Cosmetic,90+,12589.6,10669.15,8761.7,17.88
51,2025-06-02,6,33,Refrigerator,Minor Cosmetic,31-60,29949.54,25380.96,19539.7,23.01
52,2025-06-02,6,47,Washing Machine,Minor Cosmetic,31-60,35841.21,30373.91,23813.82,21.6
53,2025-06-03,1,37,Washing Machine,Open Box,0-30,18073.39,15316.43,10015.96,34.61
54,2025-06-03,1,9,AC,Minor Cosmetic,90+,33512.98,28400.83,22982.42,19.08
55,2025-06-03,1,39,Washing Machine,Grade B,90+,30118.63,25524.26,19250.61,24.58
56,2025-06-03,1,17,TV,Grade B,90+,44381.06,37611.06,28373.82,24.56
57,2025-06-03,1,18,TV,Grade C,0-30,38333.12,32485.69,22781.28,29.87
58,2025-06-03,1,34,Refrigerator,Minor Cosmetic,61-90,54513.36,46197.76,33383.53,27.74
59,2025-06-03,1,16,TV,Minor Cosmetic,90+,22988.51,19481.79,15745.16,19.18
60,2025-06-03,1,41,Washing Machine,Open Box,31-60,27195.39,23046.94,16574.72,28.08
61,2025-06-03,1,2,AC,Open Box,31-60,57002.81,48307.46,34287.99,29.02
62,2025-06-03,1,31,Refrigerator,Grade B,0-30,53354.01,45215.26,29370.58,35.04
63,2025-06-03,1,46,Washing Machine,Open Box,31-60,13802.36,11696.92,8500.42,27.33
64,2025-06-03,1,35,Refrigerator,Minor Cosmetic,0-30,14798.19,12540.84,8761.7,30.13
65,2025-06-03,1,21,TV,Grade B,90+,31872.33,27010.45,20322.84,24.76
66,2025-06-03,1,23,TV,Minor Cosmetic,61-90,19484.6,16512.37,11655.74,29.41
67,2025-06-03,2,2,AC,Open Box,61-90,54114.23,45859.51,34287.99,25.23
68,2025-06-03,2,11,AC,Grade B,61-90,24193.01,20502.55,16433.46,19.85
69,2025-06-03,2,48,Washing Machine,Open Box,90+,19424.59,16461.52,13931.97,15.37
70,2025-06-03,2,3,AC,Minor Cosmetic,31-60,25830.07,21889.89,17574.47,19.71
71,2025-06-03,2,33,Refrigerator,Minor Cosmetic,90+,27885.56,23631.83,19539.7,17.32
72,2025-06-03,2,15,TV,Grade B,31-60,13295.84,11267.66,8334.33,26.03
73,2025-06-03,2,18,TV,Grade C,61-90,34873.82,29554.08,22781.28,22.92
74,2025-06-03,2,14,TV,Grade B,90+,40524.42,34342.73,29414.34,14.35
75,2025-06-03,2,39,Washing Machine,Grade B,61-90,28485.59,24140.33,19250.61,20.26
76,2025-06-03,2,14,TV,Grade B,90+,43079.89,36508.38,29414.34,19.43
77,2025-06-03,2,15,TV,Grade B,61-90,11895.64,10081.05,8334.33,17.33
78,2025-06-03,3,7,AC,Grade B,61-90,34568.64,29295.46,22012.91,24.86
79,2025-06-03,3,35,Refrigerator,Minor Cosmetic,0-30,14376.02,12183.06,8761.7,28.08
80,2025-06-03,3,46,Washing Machine,Open Box,0-30,13472.69,11417.53,8500.42,25.55
81,2025-06-03,3,16,TV,Minor Cosmetic,90+,21023.67,17816.67,15745.16,11.63
82,2025-06-03,4,30,Refrigerator,Grade C,31-60,14874.33,12605.37,9763.61,22.54
83,2025-06-03,4,8,AC,Grade C,31-60,35639.12,30202.65,22963.56,23.97
84,2025-06-03,4,34,Refrigerator,Minor Cosmetic,90+,45279.08,38372.1,33383.53,13.0
85,2025-06-03,4,24,TV,Minor Cosmetic,61-90,55914.73,47385.36,35807.85,24.43
86,2025-06-03,4,29,Refrigerator,Minor Cosmetic,0-30,70144.89,59444.82,44000.26,25.98
87,2025-06-03,4,39,Washing Machine,Grade B,0-30,30568.53,25905.53,19250.61,25.69
88,2025-06-03,4,4,AC,Grade C,31-60,20309.08,17211.08,12893.28,25.09
89,2025-06-03,4,1,AC,Minor Cosmetic,31-60,47228.45,40024.11,29209.48,27.02
90,2025-06-03,5,11,AC,Grade B,0-30,26040.66,22068.36,16433.46,25.53
91,2025-06-03,5,39,Washing Machine,Grade B,61-90,28241.89,23933.8,19250.61,19.57
92,2025-06-03,5,13,TV,Minor Cosmetic,31-60,45606.91,38649.92,28384.81,26.56
93,2025-06-03,5,37,Washing Machine,Open Box,31-60,16107.54,13650.45,10015.96,26.63
94,2025-06-03,5,6,AC,Grade B,31-60,31921.95,27052.5,20477.52,24.3
95,2025-06-03,5,16,TV,Minor Cosmetic,61-90,23089.58,19567.44,15745.16,19.53
96,2025-06-03,5,9,AC,Minor Cosmetic,31-60,33753.26,28604.46,22982.42,19.65
97,2025-06-03,5,12,AC,Open Box,90+,37611.99,31874.57,26094.64,18.13
98,2025-06-03,5,4,AC,Grade C,61-90,19852.16,16823.87,12893.28,23.36
99,2025-06-03,6,7,AC,Grade B,31-60,35094.79,29741.35,22012.91,25.99
100,2025-06-03,6,13,TV,Minor Cosmetic,90+,39204.88,33224.47,28384.81,14.57
101,2025-06-03,6,43,Washing Machine,Grade C,61-90,23635.6,20030.17,16193.54,19.15
102,2025-06-03,6,4,AC,Grade C,90+,18409.21,15601.02,12893.28,17.36
103,2025-06-03,6,33,Refrigerator,Minor Cosmetic,61-90,28066.15,23784.87,19539.7,17.85
104,2025-06-03,6,47,Washing Machine,Minor Cosmetic,0-30,37204.89,31529.57,23813.82,24.47
105,2025-06-03,6,36,Refrigerator,Grade C,61-90,29959.89,25389.74,20279.68,20.13
106,2025-06-03,6,47,Washing Machine,Minor Cosmetic,90+,32692.44,27705.46,23813.82,14.05
107,2025-06-03,6,33,Refrigerator,Minor Cosmetic,0-30,32153.84,27249.02,19539.7,28.29
108,2025-06-03,6,6,AC,Grade B,31-60,31779.74,26931.98,20477.52,23.97
109,2025-06-04,1,3,AC,Minor Cosmetic,90+,27603.07,23392.43,17574.47,24.87
110,2025-06-04,1,40,Washing Machine,Grade C,90+,14137.03,11980.53,9534.87,20.41
111,2025-06-04,1,5,AC,Minor Cosmetic,0-30,47915.05,40605.97,28903.16,28.82
112,2025-06-04,1,36,Refrigerator,Grade C,90+,31324.53,26546.21,20279.68,23.61
113,2025-06-04,1,30,Refrigerator,Grade C,90+,15300.6,12966.61,9763.61,24.7
114,2025-06-04,1,30,Refrigerator,Grade C,90+,14630.03,12398.33,9763.61,21.25
115,2025-06-04,1,27,Refrigerator,Grade B,0-30,15658.2,13269.66,9136.62,31.15
116,2025-06-04,1,38,Washing Machine,Open Box,61-90,41268.01,34972.89,26147.92,25.23
117,2025-06-04,1,17,TV,Grade B,61-90,48228.07,40871.25,28373.82,30.58
118,2025-06-04,1,5,AC,Minor Cosmetic,0-30,49622.91,42053.32,28903.16,31.27
119,2025-06-04,1,12,AC,Open Box,90+,39810.79,33737.95,26094.64,22.65
120,2025-06-04,1,1,AC,Minor Cosmetic,0-30,51119.45,43321.57,29209.48,32.58
121,2025-06-04,1,12,AC,Open Box,31-60,45609.62,38652.22,26094.64,32.49
122,2025-06-04,2,43,Washing Machine,Grade C,0-30,24854.23,21062.91,16193.54,23.12
123,2025-06-04,2,44,Washing Machine,Open Box,61-90,32605.19,27631.52,22655.21,18.01
124,2025-06-04,2,14,TV,Grade B,61-90,42418.93,35948.24,29414.34,18.18
125,2025-06-04,2,13,TV,Minor Cosmetic,61-90,44719.06,37897.51,28384.81,25.1
126,2025-06-04,2,33,Refrigerator,Minor Cosmetic,61-90,29034.58,24605.57,19539.7,20.59
